Resume,Job Role,Skills Required,Salary Estimate,Top Companies,Industry,Growth Path
"Experienced in Hibernate, Microservices, REST API, Spring Boot and other related tools.",Java Developer,"Java, Spring Boot, REST API, Microservices, Hibernate",₹5-14 LPA,"TCS, Infosys, Capgemini, Cognizant, Accenture","IT Services, Banking Software, Enterprise Solutions",Java Developer → Senior Java Developer → Technical Lead → Software Architect
"Experienced in Figma, Prototyping, Wireframing, Adobe XD and other related tools.",UI/UX Designer,"Figma, Adobe XD, Prototyping, Wireframing, User Research",₹3-8 LPA,"Zoho, Freshworks, Practo, Startups","Design Agencies, Product Startups, Consulting",UI/UX Designer → Senior Designer → Design Lead → Product Designer
"Experienced in User Research, Figma, Prototyping, Wireframing and other related tools.",UI/UX Designer,"Figma, Adobe XD, Prototyping, Wireframing, User Research",₹3-8 LPA,"Zoho, Freshworks, Practo, Startups","Design Agencies, Product Startups, Consulting",UI/UX Designer → Senior Designer → Design Lead → Product Designer
"Experienced in REST API, Hibernate, Microservices, Java and other related tools.",Java Developer,"Java, Spring Boot, REST API, Microservices, Hibernate",₹5-14 LPA,"TCS, Infosys, Capgemini, Cognizant, Accenture","IT Services, Banking Software, Enterprise Solutions",Java Developer → Senior Java Developer → Technical Lead → Software Architect
"Experienced in Docker, CI/CD, Kubernetes, Linux and other related tools.",DevOps Engineer,"Docker, Kubernetes, AWS, Jenkins, CI/CD, Linux",₹6-16 LPA,"Amazon, Flipkart, ThoughtWorks, Accenture","Cloud Services, DevOps Consulting, Product Companies",DevOps Engineer → Senior DevOps → DevOps Lead → Cloud Architect
"Experienced in React, Express, CSS, HTML and other related tools.",Web Developer,"HTML, CSS, JavaScript, React, Node.js, Express",₹4-12 LPA,"Wipro, Cognizant, Accenture, Infosys, Mindtree","IT Services, Web Agencies, Product Companies",Web Developer → Senior Web Developer → Tech Lead → Frontend/Backend Architect
"Experienced in Adobe XD, Prototyping, Wireframing, User Research and other related tools.",UI/UX Designer,"Figma, Adobe XD, Prototyping, Wireframing, User Research",₹3-8 LPA,"Zoho, Freshworks, Practo, Startups","Design Agencies, Product Startups, Consulting",UI/UX Designer → Senior Designer → Design Lead → Product Designer
"Experienced in HTML, CSS, Express, JavaScript and other related tools.",Web Developer,"HTML, CSS, JavaScript, React, Node.js, Express",₹4-12 LPA,"Wipro, Cognizant, Accenture, Infosys, Mindtree","IT Services, Web Agencies, Product Companies",Web Developer → Senior Web Developer → Tech Lead → Frontend/Backend Architect
"Experienced in SQL, Machine Learning, Pandas, Data Visualization and other related tools.",Data Scientist,"Python, Machine Learning, SQL, Pandas, TensorFlow, Data Visualization",₹8-18 LPA,"Google, Amazon, Microsoft, TCS, Infosys","IT Services, AI Startups, Product Companies",Data Scientist → Senior Data Scientist → ML Engineer → Data Science Manager
"Experienced in Flask, Django, Python, PostgreSQL and other related tools.",Python Developer,"Python, Django, Flask, REST API, PostgreSQL",₹5-13 LPA,"Startups, Tech Mahindra, Capgemini, Mphasis","Backend Development, SaaS Companies",Python Developer → Senior Python Developer → Backend Lead → Technical Architect
"Experienced in Kubernetes, Jenkins, Linux, AWS and other related tools.",DevOps Engineer,"Docker, Kubernetes, AWS, Jenkins, CI/CD, Linux",₹6-16 LPA,"Amazon, Flipkart, ThoughtWorks, Accenture","Cloud Services, DevOps Consulting, Product Companies",DevOps Engineer → Senior DevOps → DevOps Lead → Cloud Architect
"Experienced in Java, Hibernate, REST API, Spring Boot and other related tools.",Java Developer,"Java, Spring Boot, REST API, Microservices, Hibernate",₹5-14 LPA,"TCS, Infosys, Capgemini, Cognizant, Accenture","IT Services, Banking Software, Enterprise Solutions",Java Developer → Senior Java Developer → Technical Lead → Software Architect
"Experienced in AWS, Linux, CI/CD, Docker and other related tools.",DevOps Engineer,"Docker, Kubernetes, AWS, Jenkins, CI/CD, Linux",₹6-16 LPA,"Amazon, Flipkart, ThoughtWorks, Accenture","Cloud Services, DevOps Consulting, Product Companies",DevOps Engineer → Senior DevOps → DevOps Lead → Cloud Architect
"Experienced in REST API, Hibernate, Spring Boot, Java and other related tools.",Java Developer,"Java, Spring Boot, REST API, Microservices, Hibernate",₹5-14 LPA,"TCS, Infosys, Capgemini, Cognizant, Accenture","IT Services, Banking Software, Enterprise Solutions",Java Developer → Senior Java Developer → Technical Lead → Software Architect
"Experienced in Adobe XD, User Research, Figma, Wireframing and other related tools.",UI/UX Designer,"Figma, Adobe XD, Prototyping, Wireframing, User Research",₹3-8 LPA,"Zoho, Freshworks, Practo, Startups","Design Agencies, Product Startups, Consulting",UI/UX Designer → Senior Designer → Design Lead → Product Designer
"Experienced in Django, Flask, Python, REST API and other related tools.",Python Developer,"Python, Django, Flask, REST API, PostgreSQL",₹5-13 LPA,"Startups, Tech Mahindra, Capgemini, Mphasis","Backend Development, SaaS Companies",Python Developer → Senior Python Developer → Backend Lead → Technical Architect
"Experienced in JavaScript, HTML, Node.js, React and other related tools.",Web Developer,"HTML, CSS, JavaScript, React, Node.js, Express",₹4-12 LPA,"Wipro, Cognizant, Accenture, Infosys, Mindtree","IT Services, Web Agencies, Product Companies",Web Developer → Senior Web Developer → Tech Lead → Frontend/Backend Architect
"Experienced in Android Studio, Kotlin, Jetpack Compose, Firebase and other related tools.",Android Developer,"Kotlin, Android Studio, Firebase, Jetpack Compose",₹4-10 LPA,"Swiggy, Zomato, Ola, Paytm, Byju’s","App Development, Startups, Product Companies",Android Developer → Senior Android Developer → Mobile Tech Lead → Product Manager
"Experienced in Jenkins, AWS, Kubernetes, CI/CD and other related tools.",DevOps Engineer,"Docker, Kubernetes, AWS, Jenkins, CI/CD, Linux",₹6-16 LPA,"Amazon, Flipkart, ThoughtWorks, Accenture","Cloud Services, DevOps Consulting, Product Companies",DevOps Engineer → Senior DevOps → DevOps Lead → Cloud Architect
"Experienced in System Design, C++, Algorithms, Java and other related tools.",Software Engineer,"C++, Java, System Design, SDLC, Algorithms, Data Structures",₹5-15 LPA,"Google, Microsoft, Oracle, IBM, Infosys","IT Services, Product Companies, MNCs",Software Engineer → Senior Software Engineer → Lead Engineer → Engineering Manager
"Experienced in Adobe XD, Wireframing, Figma, Prototyping and other related tools.",UI/UX Designer,"Figma, Adobe XD, Prototyping, Wireframing, User Research",₹3-8 LPA,"Zoho, Freshworks, Practo, Startups","Design Agencies, Product Startups, Consulting",UI/UX Designer → Senior Designer → Design Lead → Product Designer
"Experienced in Machine Learning, SQL, Pandas, Python and other related tools.",Data Scientist,"Python, Machine Learning, SQL, Pandas, TensorFlow, Data Visualization",₹8-18 LPA,"Google, Amazon, Microsoft, TCS, Infosys","IT Services, AI Startups, Product Companies",Data Scientist → Senior Data Scientist → ML Engineer → Data Science Manager
"Experienced in Algorithms, System Design, Data Structures, SDLC and other related tools.",Software Engineer,"C++, Java, System Design, SDLC, Algorithms, Data Structures",₹5-15 LPA,"Google, Microsoft, Oracle, IBM, Infosys","IT Services, Product Companies, MNCs",Software Engineer → Senior Software Engineer → Lead Engineer → Engineering Manager
"Experienced in Data Visualization, Python, TensorFlow, Pandas and other related tools.",Data Scientist,"Python, Machine Learning, SQL, Pandas, TensorFlow, Data Visualization",₹8-18 LPA,"Google, Amazon, Microsoft, TCS, Infosys","IT Services, AI Startups, Product Companies",Data Scientist → Senior Data Scientist → ML Engineer → Data Science Manager
"Experienced in Flask, PostgreSQL, Django, REST API and other related tools.",Python Developer,"Python, Django, Flask, REST API, PostgreSQL",₹5-13 LPA,"Startups, Tech Mahindra, Capgemini, Mphasis","Backend Development, SaaS Companies",Python Developer → Senior Python Developer → Backend Lead → Technical Architect
"Experienced in REST API, Spring Boot, Microservices, Java and other related tools.",Java Developer,"Java, Spring Boot, REST API, Microservices, Hibernate",₹5-14 LPA,"TCS, Infosys, Capgemini, Cognizant, Accenture","IT Services, Banking Software, Enterprise Solutions",Java Developer → Senior Java Developer → Technical Lead → Software Architect
"Experienced in Kotlin, Jetpack Compose, Android Studio, Firebase and other related tools.",Android Developer,"Kotlin, Android Studio, Firebase, Jetpack Compose",₹4-10 LPA,"Swiggy, Zomato, Ola, Paytm, Byju’s","App Development, Startups, Product Companies",Android Developer → Senior Android Developer → Mobile Tech Lead → Product Manager
"Experienced in CI/CD, Linux, Kubernetes, AWS and other related tools.",DevOps Engineer,"Docker, Kubernetes, AWS, Jenkins, CI/CD, Linux",₹6-16 LPA,"Amazon, Flipkart, ThoughtWorks, Accenture","Cloud Services, DevOps Consulting, Product Companies",DevOps Engineer → Senior DevOps → DevOps Lead → Cloud Architect
"Experienced in Spring Boot, Hibernate, REST API, Java and other related tools.",Java Developer,"Java, Spring Boot, REST API, Microservices, Hibernate",₹5-14 LPA,"TCS, Infosys, Capgemini, Cognizant, Accenture","IT Services, Banking Software, Enterprise Solutions",Java Developer → Senior Java Developer → Technical Lead → Software Architect
"Experienced in Jetpack Compose, Android Studio, Kotlin, Firebase and other related tools.",Android Developer,"Kotlin, Android Studio, Firebase, Jetpack Compose",₹4-10 LPA,"Swiggy, Zomato, Ola, Paytm, Byju’s","App Development, Startups, Product Companies",Android Developer → Senior Android Developer → Mobile Tech Lead → Product Manager
"Experienced in Jenkins, Linux, CI/CD, AWS and other related tools.",DevOps Engineer,"Docker, Kubernetes, AWS, Jenkins, CI/CD, Linux",₹6-16 LPA,"Amazon, Flipkart, ThoughtWorks, Accenture","Cloud Services, DevOps Consulting, Product Companies",DevOps Engineer → Senior DevOps → DevOps Lead → Cloud Architect
"Experienced in Jenkins, AWS, Docker, Kubernetes and other related tools.",DevOps Engineer,"Docker, Kubernetes, AWS, Jenkins, CI/CD, Linux",₹6-16 LPA,"Amazon, Flipkart, ThoughtWorks, Accenture","Cloud Services, DevOps Consulting, Product Companies",DevOps Engineer → Senior DevOps → DevOps Lead → Cloud Architect
"Experienced in Firebase, Android Studio, Jetpack Compose, Kotlin and other related tools.",Android Developer,"Kotlin, Android Studio, Firebase, Jetpack Compose",₹4-10 LPA,"Swiggy, Zomato, Ola, Paytm, Byju’s","App Development, Startups, Product Companies",Android Developer → Senior Android Developer → Mobile Tech Lead → Product Manager
"Experienced in System Design, C++, Java, SDLC and other related tools.",Software Engineer,"C++, Java, System Design, SDLC, Algorithms, Data Structures",₹5-15 LPA,"Google, Microsoft, Oracle, IBM, Infosys","IT Services, Product Companies, MNCs",Software Engineer → Senior Software Engineer → Lead Engineer → Engineering Manager
"Experienced in Linux, Jenkins, Docker, CI/CD and other related tools.",DevOps Engineer,"Docker, Kubernetes, AWS, Jenkins, CI/CD, Linux",₹6-16 LPA,"Amazon, Flipkart, ThoughtWorks, Accenture","Cloud Services, DevOps Consulting, Product Companies",DevOps Engineer → Senior DevOps → DevOps Lead → Cloud Architect
"Experienced in REST API, Spring Boot, Hibernate, Java and other related tools.",Java Developer,"Java, Spring Boot, REST API, Microservices, Hibernate",₹5-14 LPA,"TCS, Infosys, Capgemini, Cognizant, Accenture","IT Services, Banking Software, Enterprise Solutions",Java Developer → Senior Java Developer → Technical Lead → Software Architect
"Experienced in Figma, Wireframing, User Research, Prototyping and other related tools.",UI/UX Designer,"Figma, Adobe XD, Prototyping, Wireframing, User Research",₹3-8 LPA,"Zoho, Freshworks, Practo, Startups","Design Agencies, Product Startups, Consulting",UI/UX Designer → Senior Designer → Design Lead → Product Designer
"Experienced in C++, SDLC, Data Structures, Java and other related tools.",Software Engineer,"C++, Java, System Design, SDLC, Algorithms, Data Structures",₹5-15 LPA,"Google, Microsoft, Oracle, IBM, Infosys","IT Services, Product Companies, MNCs",Software Engineer → Senior Software Engineer → Lead Engineer → Engineering Manager
"Experienced in Java, REST API, Spring Boot, Microservices and other related tools.",Java Developer,"Java, Spring Boot, REST API, Microservices, Hibernate",₹5-14 LPA,"TCS, Infosys, Capgemini, Cognizant, Accenture","IT Services, Banking Software, Enterprise Solutions",Java Developer → Senior Java Developer → Technical Lead → Software Architect
"Experienced in Python, TensorFlow, Data Visualization, SQL and other related tools.",Data Scientist,"Python, Machine Learning, SQL, Pandas, TensorFlow, Data Visualization",₹8-18 LPA,"Google, Amazon, Microsoft, TCS, Infosys","IT Services, AI Startups, Product Companies",Data Scientist → Senior Data Scientist → ML Engineer → Data Science Manager
"Experienced in CI/CD, AWS, Docker, Kubernetes and other related tools.",DevOps Engineer,"Docker, Kubernetes, AWS, Jenkins, CI/CD, Linux",₹6-16 LPA,"Amazon, Flipkart, ThoughtWorks, Accenture","Cloud Services, DevOps Consulting, Product Companies",DevOps Engineer → Senior DevOps → DevOps Lead → Cloud Architect
"Experienced in Adobe XD, Wireframing, Prototyping, User Research and other related tools.",UI/UX Designer,"Figma, Adobe XD, Prototyping, Wireframing, User Research",₹3-8 LPA,"Zoho, Freshworks, Practo, Startups","Design Agencies, Product Startups, Consulting",UI/UX Designer → Senior Designer → Design Lead → Product Designer
"Experienced in Jetpack Compose, Android Studio, Firebase, Kotlin and other related tools.",Android Developer,"Kotlin, Android Studio, Firebase, Jetpack Compose",₹4-10 LPA,"Swiggy, Zomato, Ola, Paytm, Byju’s","App Development, Startups, Product Companies",Android Developer → Senior Android Developer → Mobile Tech Lead → Product Manager
"Experienced in Android Studio, Kotlin, Jetpack Compose, Firebase and other related tools.",Android Developer,"Kotlin, Android Studio, Firebase, Jetpack Compose",₹4-10 LPA,"Swiggy, Zomato, Ola, Paytm, Byju’s","App Development, Startups, Product Companies",Android Developer → Senior Android Developer → Mobile Tech Lead → Product Manager
"Experienced in SDLC, System Design, Data Structures, C++ and other related tools.",Software Engineer,"C++, Java, System Design, SDLC, Algorithms, Data Structures",₹5-15 LPA,"Google, Microsoft, Oracle, IBM, Infosys","IT Services, Product Companies, MNCs",Software Engineer → Senior Software Engineer → Lead Engineer → Engineering Manager
"Experienced in Data Structures, SDLC, System Design, Java and other related tools.",Software Engineer,"C++, Java, System Design, SDLC, Algorithms, Data Structures",₹5-15 LPA,"Google, Microsoft, Oracle, IBM, Infosys","IT Services, Product Companies, MNCs",Software Engineer → Senior Software Engineer → Lead Engineer → Engineering Manager
"Experienced in JavaScript, React, Node.js, Express and other related tools.",Web Developer,"HTML, CSS, JavaScript, React, Node.js, Express",₹4-12 LPA,"Wipro, Cognizant, Accenture, Infosys, Mindtree","IT Services, Web Agencies, Product Companies",Web Developer → Senior Web Developer → Tech Lead → Frontend/Backend Architect
"Experienced in System Design, Data Structures, C++, Java and other related tools.",Software Engineer,"C++, Java, System Design, SDLC, Algorithms, Data Structures",₹5-15 LPA,"Google, Microsoft, Oracle, IBM, Infosys","IT Services, Product Companies, MNCs",Software Engineer → Senior Software Engineer → Lead Engineer → Engineering Manager
"Experienced in Pandas, TensorFlow, Data Visualization, SQL and other related tools.",Data Scientist,"Python, Machine Learning, SQL, Pandas, TensorFlow, Data Visualization",₹8-18 LPA,"Google, Amazon, Microsoft, TCS, Infosys","IT Services, AI Startups, Product Companies",Data Scientist → Senior Data Scientist → ML Engineer → Data Science Manager
"Experienced in Android Studio, Jetpack Compose, Firebase, Kotlin and other related tools.",Android Developer,"Kotlin, Android Studio, Firebase, Jetpack Compose",₹4-10 LPA,"Swiggy, Zomato, Ola, Paytm, Byju’s","App Development, Startups, Product Companies",Android Developer → Senior Android Developer → Mobile Tech Lead → Product Manager
"Experienced in Adobe XD, Figma, Prototyping, Wireframing and other related tools.",UI/UX Designer,"Figma, Adobe XD, Prototyping, Wireframing, User Research",₹3-8 LPA,"Zoho, Freshworks, Practo, Startups","Design Agencies, Product Startups, Consulting",UI/UX Designer → Senior Designer → Design Lead → Product Designer
"Experienced in User Research, Figma, Prototyping, Wireframing and other related tools.",UI/UX Designer,"Figma, Adobe XD, Prototyping, Wireframing, User Research",₹3-8 LPA,"Zoho, Freshworks, Practo, Startups","Design Agencies, Product Startups, Consulting",UI/UX Designer → Senior Designer → Design Lead → Product Designer
"Experienced in SQL, Pandas, Data Visualization, Machine Learning and other related tools.",Data Scientist,"Python, Machine Learning, SQL, Pandas, TensorFlow, Data Visualization",₹8-18 LPA,"Google, Amazon, Microsoft, TCS, Infosys","IT Services, AI Startups, Product Companies",Data Scientist → Senior Data Scientist → ML Engineer → Data Science Manager
"Experienced in Algorithms, SDLC, Data Structures, System Design and other related tools.",Software Engineer,"C++, Java, System Design, SDLC, Algorithms, Data Structures",₹5-15 LPA,"Google, Microsoft, Oracle, IBM, Infosys","IT Services, Product Companies, MNCs",Software Engineer → Senior Software Engineer → Lead Engineer → Engineering Manager
"Experienced in SDLC, System Design, Data Structures, C++ and other related tools.",Software Engineer,"C++, Java, System Design, SDLC, Algorithms, Data Structures",₹5-15 LPA,"Google, Microsoft, Oracle, IBM, Infosys","IT Services, Product Companies, MNCs",Software Engineer → Senior Software Engineer → Lead Engineer → Engineering Manager
"Experienced in AWS, Linux, CI/CD, Kubernetes and other related tools.",DevOps Engineer,"Docker, Kubernetes, AWS, Jenkins, CI/CD, Linux",₹6-16 LPA,"Amazon, Flipkart, ThoughtWorks, Accenture","Cloud Services, DevOps Consulting, Product Companies",DevOps Engineer → Senior DevOps → DevOps Lead → Cloud Architect
"Experienced in PostgreSQL, Django, Python, REST API and other related tools.",Python Developer,"Python, Django, Flask, REST API, PostgreSQL",₹5-13 LPA,"Startups, Tech Mahindra, Capgemini, Mphasis","Backend Development, SaaS Companies",Python Developer → Senior Python Developer → Backend Lead → Technical Architect
"Experienced in Docker, Jenkins, Kubernetes, Linux and other related tools.",DevOps Engineer,"Docker, Kubernetes, AWS, Jenkins, CI/CD, Linux",₹6-16 LPA,"Amazon, Flipkart, ThoughtWorks, Accenture","Cloud Services, DevOps Consulting, Product Companies",DevOps Engineer → Senior DevOps → DevOps Lead → Cloud Architect
"Experienced in User Research, Figma, Adobe XD, Prototyping and other related tools.",UI/UX Designer,"Figma, Adobe XD, Prototyping, Wireframing, User Research",₹3-8 LPA,"Zoho, Freshworks, Practo, Startups","Design Agencies, Product Startups, Consulting",UI/UX Designer → Senior Designer → Design Lead → Product Designer
"Experienced in Spring Boot, Microservices, REST API, Hibernate and other related tools.",Java Developer,"Java, Spring Boot, REST API, Microservices, Hibernate",₹5-14 LPA,"TCS, Infosys, Capgemini, Cognizant, Accenture","IT Services, Banking Software, Enterprise Solutions",Java Developer → Senior Java Developer → Technical Lead → Software Architect
"Experienced in SQL, TensorFlow, Data Visualization, Python and other related tools.",Data Scientist,"Python, Machine Learning, SQL, Pandas, TensorFlow, Data Visualization",₹8-18 LPA,"Google, Amazon, Microsoft, TCS, Infosys","IT Services, AI Startups, Product Companies",Data Scientist → Senior Data Scientist → ML Engineer → Data Science Manager
"Experienced in System Design, SDLC, Algorithms, C++ and other related tools.",Software Engineer,"C++, Java, System Design, SDLC, Algorithms, Data Structures",₹5-15 LPA,"Google, Microsoft, Oracle, IBM, Infosys","IT Services, Product Companies, MNCs",Software Engineer → Senior Software Engineer → Lead Engineer → Engineering Manager
"Experienced in PostgreSQL, Python, Flask, Django and other related tools.",Python Developer,"Python, Django, Flask, REST API, PostgreSQL",₹5-13 LPA,"Startups, Tech Mahindra, Capgemini, Mphasis","Backend Development, SaaS Companies",Python Developer → Senior Python Developer → Backend Lead → Technical Architect
"Experienced in JavaScript, Node.js, CSS, HTML and other related tools.",Web Developer,"HTML, CSS, JavaScript, React, Node.js, Express",₹4-12 LPA,"Wipro, Cognizant, Accenture, Infosys, Mindtree","IT Services, Web Agencies, Product Companies",Web Developer → Senior Web Developer → Tech Lead → Frontend/Backend Architect
"Experienced in Algorithms, System Design, Data Structures, SDLC and other related tools.",Software Engineer,"C++, Java, System Design, SDLC, Algorithms, Data Structures",₹5-15 LPA,"Google, Microsoft, Oracle, IBM, Infosys","IT Services, Product Companies, MNCs",Software Engineer → Senior Software Engineer → Lead Engineer → Engineering Manager
"Experienced in Firebase, Android Studio, Kotlin, Jetpack Compose and other related tools.",Android Developer,"Kotlin, Android Studio, Firebase, Jetpack Compose",₹4-10 LPA,"Swiggy, Zomato, Ola, Paytm, Byju’s","App Development, Startups, Product Companies",Android Developer → Senior Android Developer → Mobile Tech Lead → Product Manager
"Experienced in AWS, Kubernetes, Docker, CI/CD and other related tools.",DevOps Engineer,"Docker, Kubernetes, AWS, Jenkins, CI/CD, Linux",₹6-16 LPA,"Amazon, Flipkart, ThoughtWorks, Accenture","Cloud Services, DevOps Consulting, Product Companies",DevOps Engineer → Senior DevOps → DevOps Lead → Cloud Architect
"Experienced in REST API, Python, Django, PostgreSQL and other related tools.",Python Developer,"Python, Django, Flask, REST API, PostgreSQL",₹5-13 LPA,"Startups, Tech Mahindra, Capgemini, Mphasis","Backend Development, SaaS Companies",Python Developer → Senior Python Developer → Backend Lead → Technical Architect
